OmniMap_IDX,Resource,ResourceDiseaseID,ResourceDiseaseName,OmniDisease_ID,OmniDisease,MCode,DiseasePath,Receptors,ReceptorsStatus
502,JAX,4118,colon neuroendocrine neoplasm,OmniDx_0063,Neuroendocrine Tumors,MD-2746,"Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G1, carcinoid)",,
503,JAX,4118,colon neuroendocrine neoplasm,OmniDx_0063,Neuroendocrine Tumors,MD-2747,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine tumor (G2),,
504,JAX,4118,colon neuroendocrine neoplasm,OmniDx_0063,Neuroendocrine Tumors,MD-2748,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Large cell,,
505,JAX,4118,colon neuroendocrine neoplasm,OmniDx_0063,Neuroendocrine Tumors,MD-2749,Anus / Epithelial tumors / Neuroendocrine neoplasms / Neuroendcrine carcinoma / Small cell,,
506,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1213,Colorectal / Epithelial tumors / Carcinoma / Adenocarcinoma,,
507,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2212,Colorectal / Epithelial tumors / Carcinoma / Adenocarcinoma / with medullary features,,
508,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2213,Colorectal / Epithelial tumors / Carcinoma / Adenocarcinoma / with mucinus features,,
509,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2214,Colorectal / Epithelial tumors / Carcinoma / Adenocarcinoma / with Signet Ring cell features,,
510,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1214,Colorectal / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
511,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1224,Colorectal / Epithelial tumors / Carcinoma / Medullary carcinoma,,
512,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1225,Colorectal / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
513,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1228,Colorectal / Epithelial tumors / Carcinoma / Signet-ring cell carcinoma,,
514,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-0416,Colorectal / Epithelial tumors / Mixed carcinoid-adenocarcinoma,,
515,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-1014,Appendix / Epithelial tumors / Mixed carcinoid-adenocarcinoma,,
516,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2049,Appendix / Epithelial tumors / Carcinoma / Adenocarcinoma,,
517,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2050,Appendix / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
518,JAX,50861,colorectal adenocarcinoma,OmniDx_0003,Colorectal Cancer,MD-2061,Appendix / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
519,JAX,9256,colorectal cancer,OmniDx_0003,Colorectal Cancer,,,,
520,JAX,80199,colorectal carcinoma,OmniDx_0003,Colorectal Cancer,,,,
521,JAX,8418,congenital fibrosarcoma,OmniDx_0068,Sarcoma,MD-1775,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (rarely metastasizing) / Infantile fibrosarcoma,,
522,JAX,3840,craniopharyngioma,OmniDx_0032,Brain and Nervous System Cancer,MD-0304,Brain / Tumours of the sellar region / Craniopharyngioma,,
526,JAX,3507,dermatofibrosarcoma protuberans,OmniDx_0068,Sarcoma,MD-1941,Other Gynecological / Vulva / Soft tissue tumors / Dermatofibrosarcoma protuberans,,
527,JAX,80366,desmoid tumor,OmniDx_0068,Sarcoma,MD-1749,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (locally aggressive) / Desmoid-type fibromatoses,,
528,JAX,80366,desmoid tumor,OmniDx_0068,Sarcoma,MD-1751,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Desmoplastic small round cell tumour,,
531,JAX,60074,ductal carcinoma in situ,OmniDx_0001,Breast Cancer,MD-0345,Breast / Epithelial tumors / Intraductal papillary neoplasms,,
532,JAX,60074,ductal carcinoma in situ,OmniDx_0001,Breast Cancer,MD-1168,Breast / Epithelial tumors / Intraductal papillary neoplasms / Atypical papilloma,,
533,JAX,60074,ductal carcinoma in situ,OmniDx_0001,Breast Cancer,MD-1179,Breast / Epithelial tumors / Intraductal papillary neoplasms / Intracystic papillary carcinoma,,
534,JAX,60074,ductal carcinoma in situ,OmniDx_0001,Breast Cancer,MD-1180,Breast / Epithelial tumors / Intraductal papillary neoplasms / Intraductal papillary carcinoma,,
535,JAX,10816,duodenum adenocarcinoma,OmniDx_0077,Small Intestine Cancer,MD-1989,Small Intestine / Epithelial tumors / Carcinoma / Adenocarcinoma,,
536,JAX,10816,duodenum adenocarcinoma,OmniDx_0077,Small Intestine Cancer,MD-1990,Small Intestine / Epithelial tumors / Carcinoma / Adenosquamous carcinoma,,
537,JAX,10816,duodenum adenocarcinoma,OmniDx_0077,Small Intestine Cancer,MD-2001,Small Intestine / Epithelial tumors / Carcinoma / Mucinous adenocarcinoma,,
538,JAX,10816,duodenum adenocarcinoma,OmniDx_0009,Stomach Cancer,MD-2581,Stomach / Epithelial tumors / Carcinoma / Adenocarcinoma / intestinal type,,
539,JAX,10021,duodenum cancer,OmniDx_0077,Small Intestine Cancer,,,,
542,JAX,3246,embryonal rhabdomyosarcoma,OmniDx_0039,Head and Neck Cancer,MD-1311,Head & Neck / Ear / Tumors of the external ear / Embryonal rhabdomyosarcoma,,
543,JAX,3246,embryonal rhabdomyosarcoma,OmniDx_0068,Sarcoma,MD-1755,Soft Tissue / Skeletal Muscle Tumours / Malignant / Embryonal rhabdomyosarcoma,,
544,JAX,3246,embryonal rhabdomyosarcoma,OmniDx_0068,Sarcoma,MD-2520,"Soft Tissue / Skeletal Muscle Tumours / Malignant / Embryonal rhabdomyosarcoma / (incl. spindle cell,",,
545,JAX,3246,embryonal rhabdomyosarcoma,OmniDx_0068,Sarcoma,MD-2525,"Soft Tissue / Skeletal Muscle Tumours / Malignant / Embryonal rhabdomyosarcoma / botryoid, anaplastic)",,
547,JAX,7519,endocervical carcinoma,OmniDx_0068,Sarcoma,MD-0400,Cervical / Mesenchymal tumors and tumor-like conditions / Undifferentiated endocervical sarcoma,,
548,JAX,170,endocrine gland cancer,OmniDx_0030,Endocrine Gland Cancer,,,,
549,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-0072,Endometrial / Epithelial tumors and related lesions,,
550,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-0425,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma,,
551,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-1239,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / Clear cell adenocarcinoma,,
552,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-1242,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / Endometrioid adenocarcinoma,,
553,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-2602,Other Gynecological / Vagina / Epithelial tumors / Glandular tumors / Endometrioid adenocarcinoma,,
554,JAX,2870,endometrial adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-2762,Endometrial / Epithelial tumors and related lesions / Endometrial endometrioid adenocarcinoma,,
555,JAX,1380,endometrial cancer,OmniDx_0024,Uterine Cancer,,,,
556,JAX,2871,endometrial carcinoma,OmniDx_0024,Uterine Cancer,,,,
557,JAX,5299,endometrial clear cell adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-1239,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / Clear cell adenocarcinoma,,
558,JAX,3707,endometrial mucinous adenocarcinoma,OmniDx_0024,Uterine Cancer,MD-1250,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / MuciNus adenocarcinoma,,
559,JAX,5533,endometrial squamous cell carcinoma,OmniDx_0024,Uterine Cancer,MD-1261,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / Squamous cell carcinoma,,
560,JAX,4226,endometrial stromal sarcoma,OmniDx_0068,Sarcoma,MD-0428,Endometrial / Mesenchymal tumors / Endometrial stromal and related tumors,,
561,JAX,4226,endometrial stromal sarcoma,OmniDx_0068,Sarcoma,MD-1241,"Endometrial / Mesenchymal tumors / Endometrial stromal and related tumors / Endometrial stromal sarcoma, low grade",,
562,JAX,4226,endometrial stromal sarcoma,OmniDx_0068,Sarcoma,MD-1249,Endometrial / Mesenchymal tumors / Miscellanous mesenchymal tumors / Mixed endometrial stromal and smooth muscle tumor,,
563,JAX,4226,endometrial stromal sarcoma,OmniDx_0068,Sarcoma,MD-1264,Endometrial / Mesenchymal tumors / Endometrial stromal and related tumors / Undifferentiated endometrial sarcoma,,
564,JAX,4005,endometrial transitional cell carcinoma,OmniDx_0024,Uterine Cancer,MD-1262,Endometrial / Epithelial tumors and related lesions / Endometrial carcinoma / Transitional cell carcinoma,,
565,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-0690,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation,,
566,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-1611,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Benign,,
567,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-1619,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Borderline tumor,,
568,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-1632,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant,,
569,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2426,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Adenocarcinofibroma (malignant adenofibroma),,
570,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2433,"Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Adenocarcinoma, NOS",,
571,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2436,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Benign / Adenofibroma and cystadenofibroma,,
572,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2437,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Borderline tumor / Adenofibroma and cystadenofibroma,,
573,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2441,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Adenosarcoma,,
574,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2447,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Benign / Cystadenoma,,
575,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2452,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Borderline tumor / Cystic tumor,,
576,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2454,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Endometrioid stromal sarcoma (low grade),,
577,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2471,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Malignant Mullerian mixed tumor (carcinosarcoma),,
578,JAX,5828,endometrioid ovary carcinoma,OmniDx_0010,Ovarian Cancer,MD-2501,Ovary / Surface epithelial-stromal tumors / Endometrioid tumors including variants with squamous differentiation / Malignant / Undifferentiated ovarian sarcoma,,
579,JAX,4794,ependymoblastoma,OmniDx_0032,Brain and Nervous System Cancer,MD-1115,Brain / Tumors of Neuroepithelial Tissue / Embryonal tumours / Ependymoblastoma,,
580,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-0344,Breast / Mesenchymal tumors / Inflammatory myofibroblastic tumor,,
581,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-0585,Lung / Mesenchymal / Inflammatory myofibroblastic tumor,,
582,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-1776,Soft Tissue / So-Called Fibrohistiocytic Tumours / Malignant / Inflammatory MFH | Undifferentiated,,
583,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-1777,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (rarely metastasizing) / Inflammatory myofibroblastic tumour,,
584,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-1808,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (rarely metastasizing) / Myxoinflammatory,,
585,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-2532,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Intermediate (rarely metastasizing) / Myxoinflammatory / fibroblastic sarcoma,,
586,JAX,80372,epithelioid inflammatory myofibroblastic sarcoma,OmniDx_0068,Sarcoma,MD-2542,Soft Tissue / So-Called Fibrohistiocytic Tumours / Malignant / Inflammatory MFH | Undifferentiated / pleomorphic sarcoma with prominent inflammation,,
587,JAX,8353,epithelioid maligt peripheral nerve sheath tumor,OmniDx_0068,Sarcoma,MD-1756,Soft Tissue / Tumours of peripheral nerves / Malignant peripheral nerve sheath tumour (MPNST) / Epithelioid,,
588,JAX,6193,epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1759,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Epithelioid sarcoma,,
589,JAX,6193,epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1826,Soft Tissue / Fibroblastic | MyofibroblasticTumours / Malignant / Sclerosing epithelioid fibrosarcoma,,
590,JAX,6193,epithelioid sarcoma,OmniDx_0068,Sarcoma,MD-1978,Other Gynecological / Vulva / Soft tissue tumors / Proximal epithelioid sarcoma,,
591,JAX,4878,esophageal adenoid cystic carcinoma,OmniDx_0034,Esophageal Cancer,MD-1266,Esophageal / Epithelial Tumors / Carcinoma / Adenoid cystic carcinoma,,
592,JAX,5625,esophageal adenosquamous carcinoma,OmniDx_0034,Esophageal Cancer,MD-1267,Esophageal / Epithelial Tumors / Carcinoma / Adenosquamous carcinoma,,
593,JAX,5041,esophageal cancer,OmniDx_0034,Esophageal Cancer,,,,
594,JAX,1107,esophageal carcinoma,OmniDx_0034,Esophageal Cancer,,,,
596,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-1268,Esophageal / Epithelial Tumors / Carcinoma / Basaloid squamous cell carcinoma,,
597,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-1275,Esophageal / Epithelial Tumors / Carcinoma / Spindle cell (squamous) carcinoma,,
598,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-1277,Esophageal / Epithelial Tumors / Carcinoma / Squamous cell carcinoma,,
599,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-1280,Esophageal / Epithelial Tumors / Carcinoma / Verrucous (squamous) carcinoma,,
600,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-1276,Esophageal / Epithelial Tumors / Intraepithelial neoplasia / Squamous,,
601,JAX,3748,esophagus squamous cell carcinoma,OmniDx_0034,Esophageal Cancer,MD-0452,Esophageal / Epithelial Tumors / Squamous cell papilloma,,
603,JAX,60076,estrogen-receptor negative breast cancer,OmniDx_0001,Breast Cancer,,,ER,Negative
604,JAX,60075,estrogen-receptor positive breast cancer,OmniDx_0001,Breast Cancer,,,ER,Positive
605,JAX,3369,Ewing sarcoma,OmniDx_0068,Sarcoma,MD-0851,Skin / Neural Tumors / Ewing sarcoma,,
606,JAX,3369,Ewing sarcoma,OmniDx_0068,Sarcoma,MD-0988,Bone / Marrow tumors (round cell tumors) / Ewing sarcoma,,
607,JAX,3369,Ewing sarcoma,OmniDx_0068,Sarcoma,MD-1820,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / PNET | Extraskeletal Ewing tumour,,
608,JAX,3369,Ewing sarcoma,OmniDx_0068,Sarcoma,MD-1944,Other Gynecological / Vulva / Miscellaneous tumors / Ewing tumor,,
609,JAX,3369,Ewing sarcoma,OmniDx_0068,Sarcoma,MD-2606,Other Gynecological / Vagina / Miscellaneous tumors / Others / Ewing tumor,,
610,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0025,Liver and Bile Duct Cancer,MD-0034,Gallbladder & Extrahepatic bile duct,,
611,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0025,Liver and Bile Duct Cancer,MD-0268,Gallbladder & Extrahepatic bile duct / Epithelial tumors,,
612,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0025,Liver and Bile Duct Cancer,MD-0270,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours,,
613,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0042,Kaposi's Sarcoma,MD-1067,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours / Kaposi sarcoma 9140|3,,
614,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0068,Sarcoma,MD-1065,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours / Granular cell tumor 9580|0,,
615,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0068,Sarcoma,MD-1068,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours / Leiomyoma 8890|0,,
616,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0068,Sarcoma,MD-1069,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours / Leiomyosaccoma 8890|3,,
617,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0068,Sarcoma,MD-1072,Gallbladder & Extrahepatic bile duct / Non-epithelial tumours / Rhabdomyosarcoma 8900|3,,
618,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-1064,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Goblet cell carcinoid 8243|3,,
619,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-1070,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma,,
620,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-1071,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Mixed carcinoid-adenocarcinoma8244|3,,
621,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2125,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Adenocarcinoma 8140|3,,
622,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2128,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Adenosquamous carcinoma 8560|3,,
623,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2131,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Clear cell adenocarcinoma 8310|3,,
624,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2132,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Large cell neuroendocrine carcinoma 8013|3,,
625,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2137,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Signet-ring cell carcinoma 8490|3,,
626,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2139,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Squamous cell carcinoma 8070|3,,
627,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0037,Gallbladder Cancer,MD-2142,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Undifferentiated carcinoma 8020|3,,
628,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-1063,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Carcinoid tumor 8240|3,,
629,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-1073,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Tubular carcinoid 8245|1,,
630,JAX,4682,extrahepatic bile duct carcinoma,OmniDx_0063,Neuroendocrine Tumors,MD-2138,Gallbladder & Extrahepatic bile duct / Epithelial tumors / Malignant carcinoma / Small cell carcinoma 8041|3,,
631,JAX,4232,extraosseous Ewing's sarcoma,OmniDx_0068,Sarcoma,MD-1820,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / PNET | Extraskeletal Ewing tumour,,
632,JAX,3357,extraosseous osteosarcoma,OmniDx_0068,Sarcoma,MD-0823,Soft Tissue / Chondro-Osseous Tumours / Extraskeletal osteosarcoma,,
633,JAX,6496,extraskeletal myxoid chondrosarcoma,OmniDx_0068,Sarcoma,MD-1763,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Extraskeletal myxoid chondrosarcoma,,
634,JAX,6496,extraskeletal myxoid chondrosarcoma,OmniDx_0068,Sarcoma,MD-2516,Soft Tissue / Tumours Of Uncertain Differentiation / Malignant / Extraskeletal myxoid chondrosarcoma / (chordoid type),,
636,JAX,3706,fallopian tube adenocarcinoma,OmniDx_0010,Ovarian Cancer,MD-1924,Other Gynecological / Fallopian Tube / Mixed epithelial-mesenchymal tumors / Adenosarcoma,,
637,JAX,3706,fallopian tube adenocarcinoma,OmniDx_0010,Ovarian Cancer,MD-2596,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Clear cell adenocarcinoma,,
638,JAX,3706,fallopian tube adenocarcinoma,OmniDx_0010,Ovarian Cancer,MD-2601,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Endometrioid adenocarcinoma,,
639,JAX,3706,fallopian tube adenocarcinoma,OmniDx_0010,Ovarian Cancer,MD-2612,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Mucinous adenocarcinoma,,
640,JAX,3706,fallopian tube adenocarcinoma,OmniDx_0010,Ovarian Cancer,MD-2623,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Serous adenocarcinoma,,
641,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-0213,Other Gynecological / Fallopian Tube,,
642,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-0943,Other Gynecological / Fallopian Tube / Epithelial tumors,,
643,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1933,Other Gynecological / Fallopian Tube / Epithelial tumors / Borderline tumor (of low malignant potential),,
644,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2603,Other Gynecological / Fallopian Tube / Epithelial tumors / Borderline tumor (of low malignant potential) / Endometrioid borderline tumor,,
645,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2614,Other Gynecological / Fallopian Tube / Epithelial tumors / Borderline tumor (of low malignant potential) / Mucinous borderline tumor,,
646,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2617,Other Gynecological / Fallopian Tube / Epithelial tumors / Borderline tumor (of low malignant potential) / Others,,
647,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2624,Other Gynecological / Fallopian Tube / Epithelial tumors / Borderline tumor (of low malignant potential) / Serous borderline tumor,,
648,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1934,Other Gynecological / Fallopian Tube / Epithelial tumors / Carcinoma in situ,,
649,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1959,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant,,
650,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2596,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Clear cell adenocarcinoma,,
651,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2601,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Endometrioid adenocarcinoma,,
652,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2612,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Mucinous adenocarcinoma,,
653,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2618,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Others,,
654,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2623,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Serous adenocarcinoma,,
655,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2626,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Squamous cell carcinoma,,
656,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2631,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Transitional cell carcinoma,,
657,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2635,Other Gynecological / Fallopian Tube / Epithelial tumors / Malignant / Undifferentiated carcinoma,,
658,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1985,Other Gynecological / Fallopian Tube / Epithelial tumors / Tumor-like epithelial lesions,,
659,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2605,Other Gynecological / Fallopian Tube / Epithelial tumors / Tumor-like epithelial lesions / Endosalpingiosis,,
660,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2622,Other Gynecological / Fallopian Tube / Epithelial tumors / Tumor-like epithelial lesions / Salpingitis isthmica nodosa,,
661,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2632,Other Gynecological / Fallopian Tube / Epithelial tumors / Tumor-like epithelial lesions / Tubal epithelial hyperplasia,,
662,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-0946,Other Gynecological / Fallopian Tube / Germ cell tumors,,
663,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1969,Other Gynecological / Fallopian Tube / Germ cell tumors / Others,,
664,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-1984,Other Gynecological / Fallopian Tube / Germ cell tumors / Teratoma,,
665,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2607,Other Gynecological / Fallopian Tube / Germ cell tumors / Teratoma / Immature teratoma,,
666,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-2608,Other Gynecological / Fallopian Tube / Germ cell tumors / Teratoma / Mature teratoma,,
667,JAX,1964,fallopian tube cancer,OmniDx_0010,Ovarian Cancer,MD-0948,Other Gynecological / Fallopian Tube / Lymphoid and hematopoietic tumors,,
